,great,time,man,hand,day,men,eye,night,foot,place,moment,thought,light,long,water,hour,face,head,sea,strange,land,life,stood,captain,looked,turned,body,heard,heart,left,arm,earth,knew,red,black,surely,presently,door,set,maid,house,air,year,people,mind,sound,good,rock,lay,suddenly,room,uncle,tree,mighty,began,passed,voice,matter,dead,creature,martian,nautilus,white,wall,cried,mile,felt,professor,dark,ground,fear,told,work,small,green,death,asked,human,utter,love,hope,minute,slowly,lost,power,monster,save,darkness,fell,sun,sight,city,sir,open,animal,close,point,road,replied,silence
great,-4.868912979369746,-1.370803594332258,-2.1318561937088734,-2.5326888628859794,-1.837237989300962,-1.4380997350084712,-1.9121211594580567,-2.64177094044008,-2.8083883723633654,-1.9177579173853592,-3.019825044570041,-3.7085877653729242,-1.6268267935499863,-3.622614542263072,-1.4380129641883153,0.38773414602939005,-3.07820613989255,-1.4951998361367205,-0.13211672554540801,-1.5728319039092564,-2.5284923648985216,-1.6513858697138506,-1.0102756026106103,-2.4659166999927447,-3.1820419508770903,-3.1666939865436543,-0.45468635088470605,-2.6946099878164715,-3.1096474870953155,-2.350439482572809,-3.0228115502310144,-2.9948389580029424,-3.5776270874897613,-1.3879838514329437,-0.7483462868660005,-1.7439208384852052,-1.7372571082041945,-0.9326824819403728,-1.1774546813814384,0.0,-1.3016235666297624,-2.140221775182463,-2.133132350396144,-1.8582042659810964,-2.8558137185561026,-1.4311742201659592,-1.616575625781731,0.4902402736853412,-0.5798014587240985,-2.0427052692682004,-1.5496919476261517,-2.733541692705206,0.0842675869895649,-0.21005632704668675,-2.7072623679063574,-3.2895704151815353,-1.9676423202941729,-2.278903490129679,-1.2518859394911994,-1.243681016669476,-1.6393902550138983,-3.2243527557350546,0.3047794583649046,-0.8828339324898112,-2.167658032714434,0.2657144583270968,-1.5416404637305074,-2.5356789054917908,-1.5356789054917908,-3.0995797906851172,-0.2615932499738498,-2.449522261742076,-2.0185432185942105,-4.005661927297479,-1.002423553230934,-2.9893968729346945,0.0,-2.962985242103899,-0.6209261921103018,0.15138178284810186,-1.590193064570694,-2.912121159458057,-2.323703100100681,-2.9052017455182657,0.105240001203381,-0.431830935923095,-0.5517189167560581,-1.526690122264536,-2.8450069635995194,-1.0304023024625275,0.0,0.6399597471449152,-3.815786824684526,-0.9973199475066974,-1.4602627605255598,-3.7746176357081214,-2.763182740645838,-0.06274302250474609,-2.763182740645838,-0.05121676912371829
time,-1.370803594332258,-1.5522681395726399,-2.703420336478197,-2.40381328751421,-2.0562857173495,-2.589332078829438,-3.7832455840862877,-3.3202502871259156,-2.679512796991597,-2.078388959208575,-2.0429525626433223,-1.3573197686647078,-2.275558796841769,0.7541885465522828,-2.687649012070276,-3.975243374928516,-2.627402469633419,-2.8257558794022493,-4.8105960722312435,-2.443956328537488,-2.7215448844141155,-2.370507200897032,-1.5188299478541334,-3.6589692195083385,-2.316200781339115,-2.6227809118930416,0.0,-1.2438063175573404,0.0,-1.22156390720104,-2.4788984755804018,-2.128997788464967,-1.8637890113968365,-2.4290332775034877,-3.426825633551836,-2.4224001851710404,-3.41573645489003,-3.38876940728976,-1.5631522788394279,-3.3520108572796428,-1.7577104919791504,-2.7483117939769004,-1.3261848699117373,-2.3142911913304838,-1.7269381431843338,-1.132373643351878,-0.5946152543264743,0.0,-2.673318304688778,-2.650795288062638,0.0,-2.189628618054593,-4.179174260417427,-1.846715498037895,-0.9934242918134318,0.4242676609113896,-3.1606948398097665,-1.8280998198705478,-2.1230103641194304,-2.5298429405765512,-1.2881222583056817,-4.095477180363286,0.0,-4.075886452005405,-4.038782457342665,-3.997727389079895,-1.190372467022291,-3.991765830841178,-2.991765830841178,-3.9707042153133485,-2.355110095938529,-1.9056091870914635,-3.889667643222442,0.0,-3.873547977859165,-2.275558796841769,-2.2524751837287282,-1.5121815718447675,-2.8139787116258956,-3.807205483030469,-3.7832455840862877,-1.7832455840862877,-2.7797900254500685,-0.19136366942534097,-2.76588442342485,0.0,-0.4228433413842895,0.0,0.0,-2.123919148427207,0.0,-2.6905962961206136,-2.6869112493127574,-2.675799294192533,0.0,0.0,-3.6343071652740693,-3.6343071652740693,-2.6343071652740693,-1.3008528170056795
man,-2.1318561937088734,-2.703420336478197,-1.1232535023586896,-1.081034296087355,-3.02301334311763,-2.3190205072967185,-1.4160724733009789,0.0,-3.7717713048435852,-4.755609967781719,-3.135211070495311,-2.671970697853144,0.0,-2.5859974747432912,-2.931910613367315,-3.482539382059348,-1.6492716495940098,-2.0111237916457188,0.0,-1.6882179298345266,-2.2288408915449476,-0.49929158477413454,-1.196050956427278,-4.166265226639171,-1.5604623826361539,-0.9601519175815614,-1.4960717953661988,-4.073030419575535,-1.7511023246881727,-2.0507880092192345,-1.986194482711234,-0.958221890483162,-2.9560475192488247,0.8710256374232844,-0.027231045074149543,-1.3447336915807169,-2.338069961299706,0.0,-1.8778032080278642,-2.274344363689319,-3.849968999831139,-3.840570301828889,-2.2485183763214134,0.0,-1.819196651036322,0.0,-1.8023509795983987,-3.795070753682241,-0.3061451939034691,-3.743053795914627,-3.7354673014428195,-2.6969246251854258,0.0,-3.6759396000560898,-3.670645300386577,-1.0830283462194426,-1.6679908469405986,0.0,0.5396186301920497,0.0,-2.017810686772962,-3.602773187494118,0.4027970705488282,-3.5831824591362373,-0.7387235424158938,0.0,-1.9200608954895713,-1.1771337430846478,-1.1771337430846478,-3.4780002224441806,0.0,-1.4129051942222959,-3.3969636503532743,-0.7991198583353858,-1.7958814842688413,-2.367817304693758,-1.0228055966933538,-3.3414056738629623,-2.3212747187567278,-1.314501490161301,-3.2905415912171203,-1.705579090495964,0.0,-1.283622177277329,-2.2731804305556826,-2.2696829863194554,-0.9301393485151216,-3.227038648910962,-1.223427395358583,-3.2161776562791955,-2.1978923032514457,-1.6129298025302894,-3.1942072564435895,0.0,-1.1606112871719858,-2.1530380674671847,-3.141603172404902,-3.141603172404902,-2.141603172404902,-3.130076919023874
hand,-2.5326888628859794,-2.40381328751421,-1.081034296087355,-1.6294241536783185,-2.5714032007085934,-1.9669460384385962,-1.7458220444166024,0.0,-1.6420892573219112,-4.625927920260046,-3.005529022973637,-4.54228865033147,-2.460527678508532,-2.456315427221617,-2.802228565845641,-4.352857334537674,-1.3269445241299398,-1.8814417441240447,-4.188210031840401,-4.143498383034009,-2.5141963433021175,-4.070049255393553,-0.6069372902683068,-2.0365831791174966,-4.015742835835636,-1.193039949444596,-2.9513522485656813,0.0,0.0,0.4008221331898017,-1.049157513131956,0.0,-3.826365471727151,-2.806647237112646,-2.219477092439838,-0.9926592227225949,-2.793350414499188,0.0,-1.163158659785034,-3.729624816888801,0.0,-3.7108882543072155,0.0,-3.691905150939642,0.0,0.0,-1.6726689320767247,-2.6653887061605666,-0.46596976357677977,-1.0284092476717963,-3.6057852539211455,-0.397317576221439,-3.556788220026585,-3.5462575525344158,-0.5409632528649029,0.04665370130223146,-3.5383087994189246,-3.5276418743670686,-1.1786962288412264,-3.492419400906866,-3.473091139972444,-3.473091139972444,-1.1455927870421352,-2.4535004116145633,-1.4163964169518237,0.0,-0.05341325380169068,-1.3693797904503364,-3.3693797904503366,-1.7633556742013508,0.0,-3.283223146700622,-1.2672816028316003,-0.6694378108137118,-2.251161937468323,0.0,-1.6300891433378863,-0.04179862489897557,0.0,0.0,-2.1608595436954463,-2.1608595436954463,-1.5724414843380707,0.0,0.0,-2.140000938797782,-2.1223853958808103,0.0,-0.5087828471157531,0.0,-3.0682102557297717,-3.0682102557297717,-3.0645252089219155,-3.053413253801691,0.0,-0.4383935192243551,-3.011921124883228,0.0,-3.011921124883228,-2.0003948715021997
day,-1.837237989300962,-2.0562857173495,-3.02301334311763,-2.5714032007085934,-0.25034784190507425,-2.7162800075264752,-4.687801091446877,0.6455589250969,-4.584068304352186,-3.5679069672903205,0.0,-2.8993051966405883,-0.5951518034812023,-1.0763663793645295,-3.3291701135970717,-0.7098738808467928,-3.2689235711602143,0.0,-2.54522657814952,-3.0854774300642833,-1.7192097961661859,-3.0120283024238272,0.0,-1.3935997254266153,0.0,-2.9423739185324744,-3.8933312955959556,-2.885327419084136,0.0,-1.541156913840473,0.0,-1.7705188899917628,-3.768344518757426,-3.74862628414292,-2.7464186401912687,-3.7419931918104736,0.0,0.0,-2.1051377068153085,-2.6716038639190756,-3.6622659993397395,-2.6528673013374897,-1.3238497816638077,-2.633884197969917,-2.6314936505449227,0.0,-0.44472297766468677,0.0,-2.5778738120493667,-1.970388294702071,0.0,0.0,-3.4987672670568597,-3.4882365995646905,-0.4829422998951774,1.0432741096078135,-3.4802878464491993,-2.4696209213973432,-2.4426033707588637,-3.43439844793714,-0.8301076862815624,-0.8301076862815624,-2.4094999289597725,-2.395479458644838,-2.358375463982098,-2.317320395719328,-3.317320395719328,-3.3113588374806113,-2.3113588374806113,0.0,-3.2596656032991183,0.0,-0.6242981491407188,0.0,0.0,-1.5951518034812024,-3.157030691089317,-1.153702673371563,-3.1335717182653284,-0.8048703947825394,-3.102838590725721,-1.5178760900045647,-1.0993830320895015,-3.09591917678593,-2.0854774300642833,-3.0819799858280565,-1.064364442911085,-2.0393356484195624,-1.0357243948671837,-2.0284746557877957,-3.010189302760046,-0.6882612078726837,-2.00650425595219,-1.4104298001108095,0.0,-2.965335066975786,-1.9539001719135023,-2.953900171913502,-0.6319720770261397,-2.9423739185324744
men,-1.4380997350084712,-2.589332078829438,-2.3190205072967185,-1.9669460384385962,-2.7162800075264752,-2.0122871717055633,-2.9838082556259655,0.0,-2.143109874365068,-3.448876632190565,-1.828477734904156,-1.5578824402043854,-4.283476390439051,-2.6943016384309804,0.0,-4.175806046468193,-1.8279651411730966,-4.026318550941927,-4.01115874377092,-1.6445190000771654,-2.3371450552326363,-2.3080354666029153,-0.42988600219882606,-1.8595318910480159,-1.5167634528787926,-2.238381082711563,-1.1893384597750443,-3.76629708398438,-2.76629708398438,-2.7440546736280798,0.0,-0.3295604600046448,-1.064351682936514,2.520151170461517,0.37261169490848683,-1.622962856710718,-1.6162991264297073,-3.589332078829438,-1.249141777549347,0.0,-3.543235664239984,-3.5338369662377342,-2.526747541451415,-1.929891362149005,-1.9275008147240111,-2.502861316333868,-2.4956176440072437,-2.488337418091086,-1.4588434769496113,-2.4363204603234716,-2.4287339658516647,-2.3901912895942705,-2.3797369319571042,-2.369206264464935,0.0,-2.361257511349444,-1.0393294164620814,-3.3505905862975878,0.26138946506204797,-2.3153681128373846,-0.4886849298453592,-0.9741117570156008,0.40997012428107493,-2.2764491235450826,-1.654382628161187,0.0,0.0,0.0,-3.192328502380856,0.0,-2.140635268199363,-1.521209357909985,-1.5052678140409634,-1.492386522744231,2.6263290687422494,0.0,-1.4530378552684056,0.0,-2.014541383165573,-3.0077681545701465,-2.9838082556259655,0.0,-1.980352696989746,-1.9768888416861745,-1.3814845942433718,0.0,-0.6234060129239669,0.0,-2.9166940597674285,0.0,-1.8911589676602907,-0.8911589676602907,-1.8874739208524345,-2.87636196573221,-0.046523029523227025,0.0,0.0,0.0,-2.8348698368137466,0.0
eye,-1.9121211594580567,-3.7832455840862877,-1.4160724733009789,-1.7458220444166024,-4.687801091446877,-2.9838082556259655,-3.5402918402675234,-3.492334042585995,-3.4365590531728323,-4.420397716110967,-2.0630332246583514,-3.336758446182391,-0.7955658557221559,-1.928857128185176,0.0,-4.147327130388596,0.1265131934627247,-0.8279146334200161,-2.3977173269701666,-1.6160400839975673,-2.8936286398741946,-2.8645190512444736,-1.2758762040353688,-2.2460904742472616,-0.10977291354546491,0.9055750507879712,-2.7458220444166024,0.0,0.0,-2.715575757548482,-1.6509822310404814,0.0,0.0,0.20623788909403726,0.5710156124303974,-2.59448394063112,-1.0028577096289533,0.0,-0.5425909563571115,0.0,0.0,0.0,-2.4982686253718165,0.0,-2.483984399365569,-2.47438240025427,-2.467138727927646,0.0,-0.8454020601488572,-1.085913449356511,-2.4002550497720665,-1.7767498727935163,-3.3512580158775065,0.0,-2.335433048715824,-1.7478160945486896,-2.3327785952698457,-3.3221116702179896,-2.29509411957951,-2.2868891967577865,0.0,0.0,-0.4546357557228148,-3.2479702074654844,-3.210866212802745,0.0,-2.1698111445399744,-3.1638495863012577,0.5365901318398346,-1.5578254700522718,-1.5271938513986083,-3.077692942551543,0.0,-1.0488701073857891,-0.04563173331924437,-1.4476425523018488,0.0,-0.006193422192209319,-2.986062467085975,-1.9792892384905483,-2.955329339546367,-1.370366838825211,0.3700543139772146,0.0,0.0,-1.9344707346487025,-1.3318926910105753,-0.891826397240209,1.281709857754482,0.0,0.30724494986162,-2.8626800515806927,-1.8589950047728365,1.5444343731261483,-2.825399035501233,-0.23286331507527605,-1.8063909207341486,0.0,0.0,-1.7948646673531212
night,-2.64177094044008,-3.3202502871259156,0.0,0.0,0.6455589250969,0.0,-3.492334042585995,-1.637021322846862,-4.388601255491304,-2.787477417708282,-3.3370035218641854,0.0,-3.2070396766779243,-0.8808993305036473,-4.133703064736189,-1.2920144106494629,-2.0734565222993324,-2.3649193364596437,0.0,-2.305047880482245,2.754241999994462,0.0,-3.8128809070749963,0.0,0.0,-2.7469068696715926,-3.6978642467350737,-1.6898603702232535,0.0,-2.6676179598669534,0.0,-2.5750518411308803,-2.5728774698965435,-3.5531592352820383,-0.2290234964430241,-1.9615636422284353,-2.5398624126685805,-2.512895365068311,0.0,-3.4761368150581933,-1.881836449757701,0.12756224824454854,-2.4503108276902883,0.0,-2.436026601684041,-1.104496507685379,-0.8342184295249612,0.0,-1.0604786683011223,-1.774921245841189,0.0,0.0,0.0,-1.707807049982652,-3.2874752510342953,0.17461082104898004,0.0,-3.2741538725364614,-1.2471363218979816,-1.6539688983551022,-0.6346406374206807,-3.219603138141837,-3.21403288009889,0.0,0.0,-0.7999252519710833,-3.121853346858446,0.0,-0.1158917886197289,-3.0948301730918995,-2.064198554438236,-1.0297351448700143,-3.0137936010009927,-3.0009123097042605,0.0,0.0,0.0,0.0,-2.938104669404446,0.0,-2.9073715418648387,-1.9073715418648385,-2.9039159832286194,-1.900452127925048,0.0,0.0,-1.2839348933290466,-0.2589060988375243,-0.25529484528514557,-1.2480451062057576,0.0,-1.8147222538991639,-2.811037207091308,-1.7999252519710836,0.0,-2.7698680181149036,0.0,0.0,0.0,-2.7469068696715926
foot,-2.8083883723633654,-2.679512796991597,-3.7717713048435852,-1.6420892573219112,-4.584068304352186,-2.143109874365068,-3.4365590531728323,-4.388601255491304,-2.3328262660781416,-4.316664929016276,0.0,0.0,-4.151264687264762,0.8071438744090276,-1.2705731532654232,0.0,-2.01768153288617,-0.8941068477676375,-2.2939845398754755,-3.834235391790239,-2.789895852779504,0.0,-2.172143416940678,0.0,-1.706479844591866,-2.69113188025843,-3.6420892573219112,-2.049122880088935,0.0,-2.6118429704537913,-2.5472494439457902,-3.519276851717718,-3.517102480483381,-2.4973842458688758,-1.1732485070298615,-2.4907511535364293,-3.4840874232554184,-3.4571203756551485,0.14610433145873544,-2.420361825645031,0.0,-1.4016252630634454,0.0,-2.3826421596958722,0.0,-1.3706496131595791,-0.19348093939064237,-3.356125714916797,-1.3266317737753224,-2.3041087571491827,-2.2965222626773754,-2.2579795864199816,-3.2475252287828154,-1.6520320605694896,-1.231700261621133,-3.229045808175155,-2.229045808175155,0.0,0.0,-1.1831564096630958,0.0,0.0,-1.573295389964572,-0.5592749196496374,-2.107133425708054,-3.0660783574452837,-1.0660783574452837,0.0,0.0,-0.7171270887913745,0.0,0.0,-1.9580186115878306,-1.3601748195699421,-2.9418989462245535,-2.9288722659283137,0.0,-2.9024606350975186,0.0,0.0,0.0,0.0,-2.8481409938154574,-2.8446771385118854,0.0,-1.8307379475540118,-2.81312240463704,0.0,-1.1995198558719833,0.0,0.0,0.0,0.0,0.0,-1.136703747685386,-1.7140930287017413,0.0,0.0,0.0,0.0
place,-1.9177579173853592,-2.078388959208575,-4.755609967781719,-4.625927920260046,-3.5679069672903205,-3.448876632190565,-4.420397716110967,-2.787477417708282,-4.316664929016276,-4.300503591954411,-3.2650671953891575,-3.2168643220258346,-1.5501408494817404,-3.130891098915982,-2.4768042375400054,-4.027433006232039,0.0,0.0,-2.862785703534766,-0.11763433658728131,-2.188772014996482,-2.744624927087917,-2.740944580599969,0.0,-1.6903185075300007,0.0,0.0,0.0,0.0,-3.5956816333919255,-3.531088106883925,-2.503115514655853,-1.5009411434215156,-2.4812229088070104,0.0,-1.4745898164745637,-1.1459979913061902,0.0,-3.422696832200555,-2.4042004885831654,0.0,-3.38546392600158,-2.3783745012152604,-1.7815183219128505,0.0,-3.3544882760977135,-0.5398896817134854,-1.7550018771337754,-3.310470436713457,-2.2879474200873173,0.0,0.0,-1.6464013909997937,-3.2208332242287803,0.0,-1.6279219703921333,0.0,-3.2022175460614335,-3.1751999954229535,-1.582032571880074,-3.1476668116668085,0.0,-1.5571340529027065,0.0,0.0,-3.049917020383418,0.0,-3.043955462144701,-0.23660054008709713,-1.4379313458957153,-2.992262227963208,-2.9577988183949864,-1.941857274525965,-1.9289759832292326,-1.3407751084415318,-2.912710928866449,0.0,-2.8862992980356528,-1.8661683429294185,-2.8593951143339917,0.0,0.0,-1.8319796567535918,-2.82851580145002,0.0,-0.4926485156047838,-2.796961067575175,0.0,-1.7683210195312737,-2.761071280451886,0.0,0.0,0.0,-2.7279889254960556,-2.7055049113446765,0.0,-2.6864967965775923,-2.6864967965775923,0.0,0.0
